['iteration', 'loss-best', 'loss-worst', 'loss-avg', 'loss-cooldown', 'corrections-pos', 'corrections-neg', 'no-corrections', 'average adjacency acceptance']
1, -488519000.0, -745113000.0, -566798411.7647059, -488519000.0, 21, 47, 33, 0.09377901578458682
2, -389946000.0, -489586000.0, -431656603.7735849, -390936000.0, 9, 44, 48, 0.09430438842203548
3, -388563000.0, -390936000.0, -389910196.72131145, -389359000.0, 12, 49, 40, 0.07657316148597422
4, -389359000.0, -393119000.0, -391125032.2580645, -392519000.0, 9, 53, 39, 0.09970384995064166
5, -390439000.0, -394669000.0, -393085285.71428573, -394526000.0, 9, 54, 38, 0.08480268681780016
6, -390452000.0, -443376000.0, -396406696.969697, -390452000.0, 15, 51, 35, 0.08898678414096917
7, -343049000.0, -393049000.0, -376329822.58064514, -344079000.0, 9, 53, 39, 0.09090909090909091
8, -291562000.0, -344079000.0, -335319730.15873015, -292332000.0, 11, 52, 38, 0.10642781875658588
9, -242185000.0, -293409000.0, -244880792.4528302, -242185000.0, 6, 47, 48, 0.07680608365019011
10, -241445000.0, -243632000.0, -242518948.27586207, -242592000.0, 7, 51, 43, 0.11477272727272728
11, -241472000.0, -243506000.0, -242677456.14035088, -242686000.0, 6, 51, 44, 0.09090909090909091
12, -240063000.0, -243716000.0, -241744224.48979592, -240063000.0, 6, 43, 52, 0.09980237154150198
13, -239703000.0, -241170000.0, -240441465.11627907, -240140000.0, 6, 37, 58, 0.0965583173996176
14, -239760000.0, -241833000.0, -240473444.44444445, -241833000.0, 3, 42, 56, 0.10587002096436059
15, -241363000.0, -242843000.0, -241947785.7142857, -241373000.0, 7, 35, 59, 0.13306982872200263
16, -241593000.0, -244423000.0, -242903421.0526316, -243410000.0, 9, 48, 44, 0.1143827859569649
17, -242680000.0, -244820000.0, -243940000.0, -242680000.0, 7, 41, 53, 0.10477178423236515
18, -242650000.0, -243640000.0, -243143755.55555555, -242883000.0, 6, 39, 56, 0.12625
19, -242113000.0, -244603000.0, -243583860.4651163, -243523000.0, 7, 36, 58, 0.1293213828425096
20, -241919000.0, -246013000.0, -243452227.27272728, -241919000.0, 6, 38, 57, 0.1042311661506708
21, -241176000.0, -244403000.0, -242447500.0, -243393000.0, 10, 40, 51, 0.09564393939393939
22, -192206000.0, -244396000.0, -229211680.0, -192206000.0, 6, 44, 51, 0.09777347531461762
23, -192209000.0, -193976000.0, -193028391.3043478, -193310000.0, 4, 42, 55, 0.08067092651757188
24, -191373000.0, -193783000.0, -192951977.7777778, -192753000.0, 6, 39, 56, 0.1216867469879518
25, -192753000.0, -197920000.0, -194386650.0, -197920000.0, 3, 37, 61, 0.09465791940018745
26, -194153000.0, -197920000.0, -195969666.66666666, -195230000.0, 7, 38, 56, 0.10930735930735931
27, -193447000.0, -195590000.0, -194585948.7179487, -194120000.0, 5, 34, 62, 0.10212335692618807
28, -193740000.0, -196634000.0, -194829857.14285713, -194947000.0, 3, 39, 59, 0.10455486542443064
29, -193827000.0, -197647000.0, -196214612.24489796, -196617000.0, 5, 44, 52, 0.11412429378531073
30, -196197000.0, -198347000.0, -196834128.2051282, -196314000.0, 5, 34, 62, 0.09882583170254403
31, -196230000.0, -197304000.0, -196454468.75, -196230000.0, 5, 27, 69, 0.10542797494780794
32, -194883000.0, -197300000.0, -196194545.45454547, -195726000.0, 5, 39, 57, 0.10802139037433155
33, -194706000.0, -196670000.0, -195706391.3043478, -196670000.0, 3, 43, 55, 0.1074468085106383
34, -196297000.0, -197630000.0, -196938325.0, -196297000.0, 3, 37, 61, 0.1042311661506708
35, -195337000.0, -197380000.0, -196736250.0, -197340000.0, 3, 37, 61, 0.09501411100658513
36, -196267000.0, -197427000.0, -196729553.19148937, -197260000.0, 4, 43, 54, 0.10171198388721048
37, -195194000.0, -197300000.0, -196756473.68421054, -196227000.0, 6, 32, 63, 0.0960989533777355
38, -195234000.0, -197347000.0, -196908525.0, -197347000.0, 4, 36, 61, 0.09960552268244575
39, -195597000.0, -197347000.0, -196320153.84615386, -195977000.0, 5, 34, 62, 0.10337768679631525
40, -195017000.0, -198667000.0, -197086595.23809522, -196934000.0, 3, 39, 59, 0.11272321428571429
41, -194897000.0, -197711000.0, -195858736.84210527, -197014000.0, 5, 33, 63, 0.09123757904245709
42, -194777000.0, -197014000.0, -195878628.57142857, -196847000.0, 5, 30, 66, 0.09600760456273764
43, -193414000.0, -196847000.0, -194712843.75, -194484000.0, 4, 28, 69, 0.1073326248671626
44, -194484000.0, -194777000.0, -194744000.0, -194737000.0, 2, 42, 57, 0.09215328467153285
45, -194737000.0, -194774000.0, -194772391.3043478, -194774000.0, 0, 23, 78, 0.09834469328140215
46, -194700000.0, -194774000.0, -194745633.33333334, -194700000.0, 2, 28, 71, 0.09351851851851851
47, -193450000.0, -195064000.0, -194441095.23809522, -195064000.0, 3, 39, 59, 0.10130391173520562
48, -194684000.0, -195064000.0, -195011482.75862068, -195024000.0, 3, 26, 72, 0.11703360370799537
49, -194947000.0, -196987000.0, -195810823.52941176, -196987000.0, 4, 30, 67, 0.09950738916256158
50, -193830000.0, -196987000.0, -196492066.66666666, -193830000.0, 3, 27, 71, 0.08759757155247182
