W:ID, W1, W2, W3, W4, M1, ShS%, AvSL, ScPA, OpRF
0, 4, 5, 2, 5, 16, 56/31/12, 3.20, 0, 0
1, 5, 5, 4, 4, 18, 22/22/56, 3.60, 0, 0
2, 5, 5, 5, 2, 17, 35/12/53, 3.40, 0, 0
3, 3, 4, 5, 5, 17, 24/53/24, 2.83, 0, 0
4, 4, 2, 5, 5, 16, 31/50/19, 2.29, 0, 0
