W:ID, W1, M1, ShS%, AvSL, ScPA, OpRF
0, 5, 5, 40/60/0, 2.50, 0, 0
1, 6, 6, 0/17/83, 3.00, 5, 1
2, 6, 6, 17/17/67, 3.00, 0, 0
3, 6, 6, 33/33/33, 3.00, 1, 0
4, 5, 5, 40/60/0, 1.67, 1, 0
5, 6, 6, 33/50/17, 3.00, 2, 0
6, 5, 5, 0/100/0, 5.00, 1, 1
7, 5, 5, 20/0/80, 2.50, 1, 1
8, 5, 5, 40/20/40, 1.67, 0, 1
9, 5, 5, 60/20/20, 1.67, 1, 0
10, 5, 5, 0/60/40, 1.67, 0, 0
11, 5, 5, 60/20/20, 1.67, 0, 1
12, 5, 5, 40/0/60, 2.50, 0, 0
13, 5, 5, 40/60/0, 2.50, 0, 0
14, 6, 6, 100/0/0, 3.00, 0, 1
15, 5, 5, 0/0/100, 2.50, 0, 0
16, 0, 0, 0/0/0, 0.00, 0, 0
17, 5, 5, 0/100/0, 5.00, 0, 0
18, 5, 5, 80/20/0, 5.00, 0, 0
19, 5, 5, 0/0/100, 2.50, 0, 1
20, 5, 5, 60/40/0, 2.50, 0, 0
21, 0, 0, 0/0/0, 0.00, 0, 0
