['iteration', 'loss-best', 'loss-worst', 'loss-avg', 'loss-cooldown', 'corrections-pos', 'corrections-neg', 'no-corrections', 'average adjacency acceptance']
1, -197450000.0, -396396000.0, -271050063.49206346, -198193000.0, 14, 49, 38, 0.10895361380798274
2, -146345000.0, -198533000.0, -178862500.0, -146345000.0, 9, 29, 63, 0.1281725888324873
3, -145292000.0, -147378000.0, -146503416.66666666, -146772000.0, 9, 39, 53, 0.12154031287605295
4, -144994000.0, -146772000.0, -145516229.16666666, -144994000.0, 6, 42, 53, 0.10802139037433155
5, -144986000.0, -147556000.0, -145780000.0, -146847000.0, 9, 48, 44, 0.1149032992036405
6, -146564000.0, -148291000.0, -147295444.44444445, -147587000.0, 4, 41, 56, 0.10285132382892057
7, -145690000.0, -147587000.0, -146622181.8181818, -146718000.0, 6, 49, 46, 0.1463768115942029
