W:ID, W1, M1, ShS%, AvSL, ScPA, OpRF
0, 5, 5, 20/0/80, 2.50, 0, 0
1, 5, 5, 60/0/40, 1.67, 1, 0
2, 6, 6, 33/67/0, 3.00, 3, 0
3, 6, 6, 17/83/0, 3.00, 1, 0
4, 5, 5, 40/20/40, 2.50, 1, 0
5, 5, 5, 20/80/0, 2.50, 0, 0
6, 6, 6, 17/17/67, 3.00, 2, 0
7, 5, 5, 80/0/20, 2.50, 1, 0
8, 6, 6, 33/0/67, 3.00, 0, 1
9, 5, 5, 60/40/0, 5.00, 3, 1
10, 5, 5, 60/40/0, 5.00, 0, 0
11, 5, 5, 0/0/100, 2.50, 0, 0
12, 1, 1, 100/0/0, 1.00, 0, 0
13, 5, 5, 40/60/0, 2.50, 0, 0
14, 5, 5, 80/0/20, 2.50, 0, 1
15, 5, 5, 20/0/80, 2.50, 0, 0
16, 5, 5, 20/80/0, 2.50, 0, 0
17, 5, 5, 0/60/40, 2.50, 0, 0
18, 5, 5, 0/0/100, 5.00, 0, 0
19, 0, 0, 0/0/0, 0.00, 0, 0
20, 5, 5, 60/40/0, 1.67, 0, 0
21, 5, 5, 0/80/20, 2.50, 0, 0
