['iteration', 'loss-best', 'loss-worst', 'loss-avg', 'loss-cooldown', 'corrections-pos', 'corrections-neg', 'no-corrections', 'average adjacency acceptance']
1, -247486000.0, -349023000.0, -257953507.93650794, -248916000.0, 13, 50, 38, 0.11799065420560748
2, -247109000.0, -248945000.0, -248444742.42424244, -248148000.0, 11, 55, 35, 0.11757857974388825
3, -196708000.0, -248608000.0, -210480896.55172414, -197103000.0, 10, 48, 43, 0.12139423076923077
4, -194780000.0, -197523000.0, -196768309.0909091, -194780000.0, 16, 39, 46, 0.1273644388398487
5, -146359000.0, -198432000.0, -179758701.49253732, -197767000.0, 15, 52, 34, 0.10316649642492338
6, -198107000.0, -199264000.0, -198673560.6060606, -198844000.0, 9, 57, 35, 0.104989604989605
7, -147400000.0, -199603000.0, -161452960.0, -148556000.0, 8, 42, 51, 0.14680232558139536
8, -98179000.0, -99256000.0, -98367714.28571428, -98179000.0, 4, 24, 73, 0.11197339246119734
9, -97060000.0, -99295000.0, -97975264.70588236, -99295000.0, 2, 32, 67, 0.12257281553398058
10, -97798000.0, -147798000.0, -121850315.78947368, -147791000.0, 5, 33, 63, 0.12982005141388175
11, -145565000.0, -147791000.0, -146447000.0, -145908000.0, 6, 33, 62, 0.12577833125778332
12, -145566000.0, -147446000.0, -146511745.76271185, -147103000.0, 8, 51, 42, 0.1173054587688734
13, -146346000.0, -148874000.0, -147587446.80851063, -146384000.0, 7, 40, 54, 0.1381668946648427
14, -146227000.0, -148635000.0, -147361980.39215687, -147337000.0, 12, 39, 50, 0.11812865497076024
15, -145285000.0, -148021000.0, -147017419.3548387, -148021000.0, 9, 53, 39, 0.11038251366120219
16, -145213000.0, -149898000.0, -147584959.18367347, -147108000.0, 10, 39, 52, 0.11981020166073547
17, -147028000.0, -148895000.0, -147943000.0, -148435000.0, 5, 38, 58, 0.12833545108005082
18, -147808000.0, -149635000.0, -148735130.4347826, -149598000.0, 4, 42, 55, 0.12227602905569007
19, -147391000.0, -149265000.0, -148455645.83333334, -147391000.0, 9, 39, 53, 0.14305949008498584
20, -146327000.0, -148425000.0, -147672272.72727272, -147262000.0, 10, 34, 57, 0.1537290715372907
21, -146315000.0, -196718000.0, -189129140.3508772, -196609000.0, 12, 45, 44, 0.11896348645465253
22, -143487000.0, -197426000.0, -159021258.62068966, -144857000.0, 13, 45, 43, 0.11910377358490566
23, -144773000.0, -145634000.0, -145241584.9056604, -145591000.0, 7, 46, 48, 0.14225352112676057
24, -143779000.0, -145591000.0, -144644550.0, -145194000.0, 9, 31, 61, 0.16237942122186494
25, -144442000.0, -147378000.0, -145320357.14285713, -147378000.0, 11, 45, 45, 0.14165497896213183
26, -147378000.0, -149168000.0, -148156850.0, -148101000.0, 7, 33, 61, 0.1393103448275862
27, -147407000.0, -148854000.0, -148077885.24590164, -148439000.0, 3, 58, 40, 0.1216867469879518
28, -146366000.0, -199216000.0, -162978645.16129032, -147843000.0, 8, 54, 39, 0.10699152542372882
29, -146406000.0, -150283000.0, -147688163.63636363, -147436000.0, 11, 44, 46, 0.12302070645554203
30, -146103000.0, -148513000.0, -147247471.6981132, -146106000.0, 7, 46, 48, 0.1337748344370861
31, -146106000.0, -148513000.0, -147587170.21276596, -147266000.0, 4, 43, 54, 0.12965340179717585
32, -145806000.0, -147666000.0, -146641730.76923078, -146509000.0, 10, 42, 49, 0.14245416078984485
33, -146512000.0, -148622000.0, -147315361.70212767, -147356000.0, 5, 42, 54, 0.14574314574314573
34, -145983000.0, -148885000.0, -147115736.84210527, -146795000.0, 7, 31, 63, 0.12801013941698353
35, -146458000.0, -148125000.0, -147144333.33333334, -147421000.0, 7, 32, 62, 0.1309987029831388
36, -145583000.0, -147495000.0, -146552711.1111111, -146290000.0, 8, 37, 56, 0.1478770131771596
37, -144924000.0, -146674000.0, -145938314.8148148, -144924000.0, 11, 43, 47, 0.15981012658227847
38, -144921000.0, -147641000.0, -145821316.66666666, -146908000.0, 14, 46, 41, 0.12242424242424242
39, -96262000.0, -146655000.0, -113971510.20408164, -96355000.0, 7, 42, 52, 0.15805946791862285
40, -95978000.0, -97708000.0, -97068432.43243243, -96718000.0, 4, 33, 64, 0.12784810126582277
41, -95978000.0, -98375000.0, -97134720.0, -95978000.0, 4, 21, 76, 0.15514592933947774
42, -95956000.0, -97348000.0, -96436285.71428572, -95956000.0, 3, 32, 66, 0.12546583850931678
43, -95576000.0, -96946000.0, -96350054.05405405, -95956000.0, 5, 32, 64, 0.11222222222222222
44, -95536000.0, -98443000.0, -97001027.77777778, -97455000.0, 6, 30, 65, 0.13988919667590027
45, -95996000.0, -98783000.0, -97590297.2972973, -97369000.0, 5, 32, 64, 0.13289473684210526
46, -96336000.0, -98406000.0, -96915718.75, -98406000.0, 2, 30, 69, 0.13797814207650272
47, -97072000.0, -98575000.0, -98078390.24390244, -98235000.0, 5, 36, 60, 0.11050328227571116
48, -98235000.0, -98828000.0, -98566388.8888889, -98235000.0, 4, 32, 65, 0.12965340179717585
49, -96256000.0, -98828000.0, -97218846.15384616, -96619000.0, 8, 31, 62, 0.11896348645465253
50, -93722000.0, -96619000.0, -94567979.59183674, -93762000.0, 10, 39, 52, 0.1348464619492657
