['iteration', 'loss-best', 'loss-worst', 'loss-avg', 'loss-cooldown', 'corrections-pos', 'corrections-neg', 'no-corrections', 'average adjacency acceptance']
1, -195364000.0, -348970000.0, -256758865.6716418, -195684000.0, 20, 47, 34, 0.10598111227701994
2, -146680000.0, -247833000.0, -215579409.0909091, -147417000.0, 10, 56, 35, 0.1275252525252525
3, -145977000.0, -149185000.0, -147378736.84210527, -147754000.0, 9, 48, 44, 0.104989604989605
4, -146067000.0, -197479000.0, -152298872.72727272, -197479000.0, 9, 46, 46, 0.10813704496788008
5, -146449000.0, -199299000.0, -160766442.30769232, -198222000.0, 4, 48, 49, 0.10243407707910751
6, -196045000.0, -248889000.0, -216014060.6060606, -196085000.0, 13, 53, 35, 0.1270440251572327
7, -196485000.0, -199265000.0, -197085678.57142857, -199265000.0, 5, 51, 45, 0.10253807106598985
8, -145750000.0, -199265000.0, -187822727.27272728, -147443000.0, 13, 42, 46, 0.1032719836400818
9, -146427000.0, -148644000.0, -147903781.8181818, -147527000.0, 7, 48, 46, 0.12453760789149199
10, -145734000.0, -148946000.0, -147155888.8888889, -146814000.0, 6, 39, 56, 0.09582542694497154
11, -145697000.0, -199941000.0, -159997542.37288135, -199941000.0, 8, 51, 42, 0.08714408973252805
12, -147945000.0, -201098000.0, -165247040.0, -149067000.0, 10, 40, 51, 0.11259754738015608
13, -147533000.0, -150057000.0, -148671804.3478261, -147533000.0, 10, 36, 55, 0.1074468085106383
14, -146795000.0, -197855000.0, -156581500.0, -197515000.0, 9, 49, 43, 0.11098901098901098
15, -96733000.0, -197553000.0, -123019839.28571428, -97116000.0, 5, 51, 45, 0.11098901098901098
16, -97116000.0, -198532000.0, -135524622.2222222, -198491000.0, 10, 35, 56, 0.11184939091915837
17, -197113000.0, -199259000.0, -197944191.4893617, -199259000.0, 8, 39, 54, 0.1071049840933192
18, -195181000.0, -199259000.0, -196640519.23076922, -195181000.0, 11, 41, 49, 0.11038251366120219
19, -195181000.0, -198186000.0, -196637206.34920636, -198186000.0, 7, 56, 38, 0.11197339246119734
20, -196038000.0, -297873000.0, -226351578.125, -248129000.0, 12, 52, 37, 0.10348360655737705
21, -196010000.0, -248176000.0, -202928531.25, -196010000.0, 14, 50, 37, 0.12423124231242312
22, -195263000.0, -247669000.0, -222939619.04761904, -196220000.0, 16, 47, 38, 0.10564853556485355
23, -194217000.0, -197777000.0, -196072722.2222222, -196687000.0, 7, 47, 47, 0.11425339366515837
24, -145614000.0, -198544000.0, -170777456.14035088, -146602000.0, 13, 44, 44, 0.12139423076923077
25, -145315000.0, -196352000.0, -159612157.89473686, -147093000.0, 11, 46, 44, 0.10140562248995984
26, -146356000.0, -150081000.0, -147886340.0, -149721000.0, 9, 41, 51, 0.12154031287605295
27, -98561000.0, -150081000.0, -129137242.42424242, -149628000.0, 4, 29, 68, 0.13395225464190982
28, -147087000.0, -198221000.0, -156403560.97560975, -147087000.0, 10, 31, 60, 0.12317073170731707
29, -146326000.0, -197121000.0, -156493716.9811321, -147443000.0, 12, 41, 48, 0.13466666666666666
30, -144587000.0, -148111000.0, -146000520.83333334, -146086000.0, 6, 42, 53, 0.14469914040114612
31, -144155000.0, -146466000.0, -145046978.72340426, -146009000.0, 7, 40, 54, 0.11310190369540873
32, -143857000.0, -146009000.0, -144443800.0, -144554000.0, 8, 47, 46, 0.13520749665327977
33, -143814000.0, -146051000.0, -144653250.0, -145731000.0, 9, 47, 45, 0.12531017369727046
34, -145351000.0, -196379000.0, -185966088.2352941, -195982000.0, 12, 56, 33, 0.14940828402366865
35, -145214000.0, -197757000.0, -173323700.0, -147770000.0, 12, 38, 51, 0.14145658263305322
36, -147074000.0, -149179000.0, -147937731.70731708, -147801000.0, 6, 35, 60, 0.1192443919716647
37, -146355000.0, -148541000.0, -147005980.0, -148498000.0, 6, 44, 51, 0.11038251366120219
38, -98623000.0, -147586000.0, -132587302.3255814, -146434000.0, 7, 36, 58, 0.11503416856492027
39, -145317000.0, -197349000.0, -164050900.0, -146691000.0, 9, 41, 51, 0.10295616717635066
40, -146310000.0, -147806000.0, -147303875.0, -146315000.0, 10, 38, 53, 0.1426553672316384
41, -145572000.0, -147737000.0, -146987705.88235295, -147020000.0, 8, 43, 50, 0.10488058151609553
42, -97390000.0, -148385000.0, -112034945.45454545, -98063000.0, 4, 51, 46, 0.1256218905472637
43, -95951000.0, -98760000.0, -97669318.18181819, -97683000.0, 4, 40, 57, 0.08125502815768303
44, -94878000.0, -96670000.0, -95651458.33333333, -95488000.0, 6, 42, 53, 0.1309987029831388
45, -95488000.0, -97131000.0, -96063108.1081081, -97131000.0, 4, 33, 64, 0.13324538258575197
46, -94537000.0, -97384000.0, -96164135.13513513, -96664000.0, 4, 33, 64, 0.11272321428571429
47, -94152000.0, -97081000.0, -95428514.28571428, -95971000.0, 5, 30, 66, 0.1270440251572327
48, -95544000.0, -96964000.0, -96404790.69767442, -96587000.0, 5, 38, 58, 0.12609238451935081
49, -94517000.0, -96967000.0, -95992725.0, -95931000.0, 7, 33, 61, 0.11799065420560748
50, -95557000.0, -97391000.0, -96364516.12903225, -97054000.0, 4, 27, 70, 0.15142428785607195
