['iteration', 'loss-best', 'loss-worst', 'loss-avg', 'loss-cooldown', 'corrections-pos', 'corrections-neg', 'no-corrections', 'average adjacency acceptance']
1, -296735000.0, -447826000.0, -369859463.91752577, -348870000.0, 25, 72, 4, 0.11896348645465253
2, -248527000.0, -451054000.0, -364007639.53488374, -449166000.0, 31, 55, 15, 0.11635944700460829
3, -297235000.0, -449259000.0, -372315870.9677419, -447779000.0, 26, 67, 8, 0.10520833333333333
4, -296123000.0, -496243000.0, -382839872.34042555, -446863000.0, 18, 76, 7, 0.1145124716553288
5, -295959000.0, -497361000.0, -366822978.49462366, -298104000.0, 27, 66, 8, 0.12784810126582277
6, -296403000.0, -499008000.0, -369674626.37362635, -347261000.0, 25, 66, 10, 0.12453760789149199
7, -297235000.0, -448621000.0, -372554627.65957445, -398479000.0, 32, 62, 7, 0.11938534278959811
8, -297042000.0, -497450000.0, -392005291.6666667, -396720000.0, 30, 66, 5, 0.1487481590574374
9, -296300000.0, -497858000.0, -395787768.42105263, -397443000.0, 18, 77, 6, 0.12899106002554278
10, -248519000.0, -399226000.0, -366362147.3684211, -397110000.0, 22, 73, 6, 0.12095808383233533
11, -297447000.0, -448073000.0, -352384824.17582417, -297716000.0, 27, 64, 10, 0.16557377049180327
12, -297417000.0, -499191000.0, -360020989.69072163, -447779000.0, 17, 80, 4, 0.11840562719812427
13, -296263000.0, -448526000.0, -381282308.5106383, -298096000.0, 26, 68, 7, 0.11649365628604383
14, -296681000.0, -398019000.0, -331197879.1208791, -346689000.0, 23, 68, 10, 0.10966340933767643
15, -246149000.0, -347990000.0, -297106541.1764706, -347990000.0, 20, 65, 16, 0.11771561771561771
16, -296330000.0, -447453000.0, -383075768.42105263, -397381000.0, 27, 68, 6, 0.11910377358490566
17, -247448000.0, -547240000.0, -378330076.9230769, -547240000.0, 27, 64, 10, 0.13306982872200263
18, -246388000.0, -497320000.0, -357667868.1318681, -297044000.0, 28, 63, 10, 0.11854460093896714
19, -296684000.0, -397901000.0, -354939056.1797753, -395373000.0, 19, 70, 12, 0.12833545108005082
20, -198760000.0, -445373000.0, -322202569.62025315, -348541000.0, 20, 59, 22, 0.1270440251572327
21, -297719000.0, -449562000.0, -349779337.2093023, -298709000.0, 21, 65, 15, 0.1629032258064516
22, -246969000.0, -400223000.0, -329868095.2380952, -349149000.0, 28, 56, 17, 0.12833545108005082
23, -294586000.0, -446653000.0, -321931192.7710843, -446613000.0, 19, 64, 18, 0.13049095607235142
24, -246358000.0, -446973000.0, -334418042.1052632, -397041000.0, 27, 68, 6, 0.10348360655737705
25, -297353000.0, -499214000.0, -358694702.38095236, -400259000.0, 23, 61, 17, 0.13502673796791445
26, -198089000.0, -400259000.0, -293779400.0, -247764000.0, 34, 56, 11, 0.1420534458509142
27, -247377000.0, -499143000.0, -368546604.6511628, -447700000.0, 21, 65, 15, 0.14185393258426968
28, -345956000.0, -497421000.0, -410043297.87234044, -345956000.0, 29, 65, 7, 0.10243407707910751
29, -294134000.0, -498278000.0, -352620404.2553192, -448271000.0, 26, 68, 7, 0.14066852367688024
30, -345715000.0, -498267000.0, -398801774.1935484, -448208000.0, 26, 67, 8, 0.1211031175059952
31, -246791000.0, -448538000.0, -361083333.3333333, -297131000.0, 33, 57, 11, 0.1478770131771596
32, -246057000.0, -398271000.0, -301008297.61904764, -296457000.0, 23, 61, 17, 0.1476608187134503
33, -296497000.0, -496504000.0, -382827988.6363636, -299227000.0, 18, 70, 13, 0.1132286995515695
34, -248048000.0, -398765000.0, -322621058.1395349, -347772000.0, 25, 61, 15, 0.14066852367688024
35, -247870000.0, -398981000.0, -309578000.0, -298591000.0, 20, 63, 18, 0.1218335343787696
36, -247075000.0, -499563000.0, -384151635.2941176, -349440000.0, 23, 62, 16, 0.12688442211055276
37, -298399000.0, -349571000.0, -330841532.6086956, -349070000.0, 20, 72, 9, 0.11840562719812427
38, -297707000.0, -398450000.0, -329313107.14285713, -398100000.0, 18, 66, 17, 0.13133940182054615
39, -246670000.0, -448481000.0, -313487703.7037037, -448478000.0, 25, 56, 20, 0.15210843373493976
40, -248604000.0, -449521000.0, -354946238.6363636, -348227000.0, 27, 61, 13, 0.11622554660529344
41, -248119000.0, -349431000.0, -322610105.88235295, -297626000.0, 25, 60, 16, 0.14574314574314573
42, -245150000.0, -446027000.0, -356508373.4939759, -346077000.0, 19, 64, 18, 0.1216867469879518
43, -244479000.0, -394946000.0, -311325297.61904764, -344551000.0, 28, 56, 17, 0.13082901554404144
44, -246039000.0, -398377000.0, -352530102.27272725, -397717000.0, 19, 69, 13, 0.1309987029831388
45, -244262000.0, -397717000.0, -298537875.0, -345542000.0, 22, 58, 21, 0.11160220994475138
46, -246589000.0, -397609000.0, -327794440.47619045, -350235000.0, 24, 60, 17, 0.12688442211055276
47, -248080000.0, -399964000.0, -342067565.2173913, -398815000.0, 19, 73, 9, 0.10907127429805616
48, -247456000.0, -399526000.0, -311167230.7692308, -297943000.0, 19, 59, 23, 0.10202020202020202
49, -246451000.0, -397604000.0, -341039663.04347825, -346070000.0, 20, 72, 9, 0.11348314606741573
50, -195687000.0, -396447000.0, -310555966.6666667, -295233000.0, 25, 65, 11, 0.1149032992036405
