W:ID, W1, M1, ShS%, AvSL, ScPA, OpRF
0, 5, 5, 40/40/20, 2.50, 1, 0
1, 5, 5, 20/0/80, 1.67, 1, 1
2, 6, 6, 50/0/50, 3.00, 0, 1
3, 5, 5, 0/100/0, 1.67, 3, 1
4, 5, 5, 20/80/0, 5.00, 0, 0
5, 5, 5, 40/0/60, 5.00, 2, 1
6, 6, 6, 17/67/17, 3.00, 0, 1
7, 5, 5, 0/0/100, 2.50, 1, 1
8, 6, 6, 50/17/33, 3.00, 2, 1
9, 5, 5, 20/60/20, 1.67, 1, 0
10, 5, 5, 60/0/40, 2.50, 0, 0
11, 0, 0, 0/0/0, 0.00, 0, 0
12, 5, 5, 80/20/0, 5.00, 0, 1
13, 6, 6, 0/17/83, 3.00, 0, 1
14, 1, 1, 0/100/0, 1.00, 0, 0
15, 5, 5, 20/40/40, 1.67, 0, 1
16, 5, 5, 20/80/0, 2.50, 0, 0
17, 5, 5, 100/0/0, 5.00, 0, 0
18, 5, 5, 0/60/40, 1.67, 0, 1
19, 5, 5, 20/40/40, 2.50, 0, 1
20, 5, 5, 60/20/20, 2.50, 0, 0
21, 5, 5, 60/20/20, 2.50, 0, 0
