['iteration', 'loss-best', 'loss-worst', 'loss-avg', 'loss-cooldown', 'corrections-pos', 'corrections-neg', 'no-corrections', 'average adjacency acceptance']
1, -194486000.0, -396396000.0, -257449253.73134327, -195534000.0, 24, 43, 34, 0.1218335343787696
2, -144786000.0, -245906000.0, -188638338.028169, -146236000.0, 15, 56, 30, 0.15562403697996918
3, -144863000.0, -147442000.0, -146393867.9245283, -146454000.0, 8, 45, 48, 0.13065976714100905
4, -143852000.0, -193112000.0, -145929863.63636363, -193112000.0, 8, 36, 57, 0.11952662721893491
5, -142263000.0, -195763000.0, -173068014.70588234, -194759000.0, 16, 52, 33, 0.15256797583081572
6, -193403000.0, -297904000.0, -241808661.53846154, -296507000.0, 17, 48, 36, 0.1335978835978836
7, -147816000.0, -346512000.0, -246646830.18867925, -147816000.0, 13, 40, 48, 0.12377450980392157
8, -146358000.0, -198590000.0, -151890562.5, -149940000.0, 9, 39, 53, 0.12577833125778332
9, -147413000.0, -199646000.0, -157333826.08695653, -149249000.0, 10, 36, 55, 0.11854460093896714
10, -148480000.0, -149919000.0, -149190911.1111111, -149898000.0, 9, 36, 56, 0.14962962962962964
11, -147937000.0, -149842000.0, -148567064.51612905, -148029000.0, 8, 23, 70, 0.13557046979865772
12, -145512000.0, -196162000.0, -167281690.9090909, -195504000.0, 8, 47, 46, 0.14125874125874127
13, -194896000.0, -295538000.0, -212444377.04918033, -196843000.0, 12, 49, 40, 0.11649365628604383
14, -195302000.0, -198148000.0, -196716258.62068966, -195642000.0, 11, 47, 43, 0.1111111111111111
15, -194923000.0, -246460000.0, -204823797.10144928, -246460000.0, 9, 60, 32, 0.1286624203821656
16, -244563000.0, -295568000.0, -247666104.47761193, -295568000.0, 13, 54, 34, 0.15303030303030302
17, -245581000.0, -297361000.0, -290289716.41791046, -246281000.0, 16, 51, 34, 0.15683229813664595
18, -244941000.0, -247311000.0, -246429096.77419356, -245574000.0, 12, 50, 39, 0.15830721003134796
19, -245570000.0, -248916000.0, -247932444.44444445, -248916000.0, 10, 62, 29, 0.15855572998430142
20, -248173000.0, -348149000.0, -302183960.5263158, -346071000.0, 22, 54, 25, 0.12982005141388175
21, -146697000.0, -347174000.0, -231948927.53623188, -147477000.0, 16, 53, 32, 0.15514592933947774
22, -97037000.0, -148067000.0, -103729763.15789473, -98789000.0, 6, 32, 63, 0.15074626865671642
23, -94819000.0, -98836000.0, -96593400.0, -96316000.0, 8, 27, 66, 0.16557377049180327
24, -95960000.0, -97705000.0, -96424954.54545455, -95960000.0, 6, 38, 57, 0.1600633914421553
25, -94843000.0, -98730000.0, -96785459.45945945, -94843000.0, 6, 31, 64, 0.12833545108005082
26, -94137000.0, -97984000.0, -95076636.36363636, -97984000.0, 6, 38, 57, 0.14809384164222875
27, -95015000.0, -147041000.0, -118687048.7804878, -147039000.0, 6, 35, 60, 0.12672521957340024
28, -145299000.0, -148516000.0, -146844369.5652174, -146670000.0, 14, 32, 55, 0.1561051004636785
29, -145972000.0, -149774000.0, -147588724.13793105, -149224000.0, 8, 50, 43, 0.1353887399463807
30, -146008000.0, -149820000.0, -147318890.9090909, -146118000.0, 15, 40, 46, 0.1711864406779661
31, -144841000.0, -196295000.0, -147296933.33333334, -196295000.0, 12, 48, 41, 0.1353887399463807
32, -194006000.0, -198270000.0, -196361705.88235295, -197220000.0, 13, 55, 33, 0.15805946791862285
33, -194869000.0, -197220000.0, -196374864.40677965, -195619000.0, 15, 44, 42, 0.14469914040114612
34, -193802000.0, -199562000.0, -197335582.08955225, -194461000.0, 14, 53, 34, 0.1573208722741433
35, -144178000.0, -197935000.0, -170530584.6153846, -145167000.0, 17, 48, 36, 0.13520749665327977
36, -143744000.0, -194826000.0, -150231725.80645162, -194826000.0, 12, 50, 39, 0.13430851063829788
37, -145077000.0, -194826000.0, -150920480.76923078, -146563000.0, 9, 43, 49, 0.1688963210702341
38, -144005000.0, -147842000.0, -146039577.7777778, -147592000.0, 10, 35, 56, 0.1273644388398487
39, -146222000.0, -148337000.0, -147424422.2222222, -147614000.0, 5, 40, 56, 0.1212484993997599
40, -144856000.0, -197039000.0, -152747696.42857143, -197039000.0, 9, 47, 45, 0.14852941176470588
41, -146278000.0, -197376000.0, -186167085.10638297, -147021000.0, 6, 41, 54, 0.12198067632850242
42, -147021000.0, -199427000.0, -191043500.0, -196976000.0, 12, 46, 43, 0.16449511400651465
43, -145917000.0, -200019000.0, -167374515.625, -148392000.0, 14, 50, 37, 0.1273644388398487
44, -147070000.0, -149425000.0, -147991833.33333334, -148105000.0, 10, 38, 53, 0.14165497896213183
45, -146734000.0, -148575000.0, -147771488.37209302, -147935000.0, 9, 34, 58, 0.1286624203821656
46, -97569000.0, -148692000.0, -132938878.78787878, -98442000.0, 6, 27, 68, 0.19056603773584907
47, -97072000.0, -98442000.0, -97474307.6923077, -97149000.0, 5, 34, 62, 0.13324538258575197
48, -97147000.0, -97820000.0, -97483655.1724138, -97817000.0, 3, 26, 72, 0.16031746031746033
49, -96030000.0, -97817000.0, -96994971.42857143, -97693000.0, 2, 33, 66, 0.12672521957340024
50, -97023000.0, -98140000.0, -97606428.57142857, -97023000.0, 3, 32, 66, 0.14185393258426968
