['iteration', 'loss-best', 'loss-worst', 'loss-avg', 'loss-cooldown', 'corrections-pos', 'corrections-neg', 'no-corrections', 'average adjacency acceptance']
1, -1286915000.0, -1437985000.0, -1358809947.368421, -1288645000.0, 21, 55, 25, 0.07829457364341086
2, -1137198000.0, -1289345000.0, -1198679246.9135802, -1140248000.0, 15, 66, 20, 0.05661434977578475
3, -1040215000.0, -1140584000.0, -1098590971.830986, -1040585000.0, 14, 57, 30, 0.07018763029881862
4, -987392000.0, -1040585000.0, -1022771580.6451613, -987769000.0, 19, 43, 39, 0.07372262773722628
5, -934285000.0, -987769000.0, -974532692.3076923, -987175000.0, 12, 53, 36, 0.06211562115621156
6, -935438000.0, -988625000.0, -966833065.5737705, -935438000.0, 12, 49, 40, 0.07178393745557925
7, -933615000.0, -984521000.0, -956484584.6153846, -983687000.0, 15, 50, 36, 0.058516801853997685
8, -933724000.0, -985791000.0, -966779785.7142857, -935341000.0, 7, 63, 31, 0.06117504542701393
9, -834020000.0, -935714000.0, -897820846.1538461, -834020000.0, 16, 49, 36, 0.07680608365019011
10, -783014000.0, -834880000.0, -802965660.0, -784574000.0, 8, 42, 51, 0.07033426183844012
11, -781781000.0, -784574000.0, -782974440.0, -783321000.0, 6, 44, 51, 0.06927297668038408
12, -782870000.0, -785387000.0, -784037180.0, -784330000.0, 5, 45, 51, 0.06838185511171294
13, -782130000.0, -784584000.0, -783790910.7142857, -784584000.0, 4, 52, 45, 0.06416772554002541
14, -779437000.0, -831811000.0, -797313065.5737705, -780664000.0, 11, 50, 40, 0.07421013960323292
15, -778787000.0, -785407000.0, -780338360.6557378, -785407000.0, 6, 55, 40, 0.07426470588235294
16, -782037000.0, -786737000.0, -783686112.9032258, -782037000.0, 15, 47, 39, 0.06941580756013746
17, -782037000.0, -783917000.0, -782715456.1403508, -783917000.0, 7, 50, 44, 0.0698961937716263
18, -781917000.0, -783917000.0, -782674450.9803921, -782658000.0, 8, 43, 50, 0.06288916562889166
19, -779954000.0, -782658000.0, -781740914.893617, -781198000.0, 5, 42, 54, 0.07542942494398805
20, -780235000.0, -783309000.0, -782292100.0, -783309000.0, 3, 37, 61, 0.097678916827853
21, -681869000.0, -782856000.0, -703374760.8695652, -681869000.0, 7, 39, 55, 0.08790252393385553
22, -680445000.0, -683332000.0, -681312207.5471698, -680845000.0, 7, 46, 48, 0.07927786499215071
23, -680471000.0, -683585000.0, -682162720.9302325, -681361000.0, 6, 37, 58, 0.0736688548504741
24, -680728000.0, -683798000.0, -682087826.9230769, -682261000.0, 7, 45, 49, 0.07745398773006135
25, -682261000.0, -685855000.0, -684032196.0784314, -684298000.0, 9, 42, 50, 0.06614276358873608
26, -682765000.0, -685665000.0, -683987150.9433962, -683845000.0, 8, 45, 48, 0.08610400682011936
27, -684855000.0, -687482000.0, -686535017.5438596, -686312000.0, 7, 50, 44, 0.08566581849024597
28, -686312000.0, -690459000.0, -688193215.6862745, -687229000.0, 6, 45, 50, 0.08164915117219078
29, -686609000.0, -689455000.0, -688215436.3636364, -687631000.0, 8, 47, 46, 0.0689419795221843
30, -687005000.0, -690125000.0, -688255145.4545455, -689425000.0, 8, 47, 46, 0.06724367509986684
31, -686595000.0, -689822000.0, -688532836.7346939, -687265000.0, 10, 39, 52, 0.0772762050497322
32, -685582000.0, -688442000.0, -686932508.4745762, -687365000.0, 7, 52, 42, 0.07470414201183433
33, -687365000.0, -737495000.0, -697577365.3846154, -736788000.0, 6, 46, 49, 0.07383040935672515
34, -735548000.0, -786975000.0, -763168641.509434, -785605000.0, 9, 44, 48, 0.08292282430213464
35, -784235000.0, -789302000.0, -785940155.1724138, -789302000.0, 6, 52, 43, 0.07576894223555888
36, -689428000.0, -789345000.0, -776985084.7457627, -689428000.0, 11, 48, 42, 0.05564738292011019
37, -687922000.0, -689805000.0, -688928254.2372881, -688342000.0, 11, 48, 42, 0.06332288401253919
38, -687332000.0, -688962000.0, -688204156.862745, -688276000.0, 6, 45, 50, 0.08759757155247182
39, -687906000.0, -689885000.0, -689110952.3809524, -689545000.0, 10, 32, 59, 0.07356154406409322
40, -639812000.0, -689882000.0, -652867660.3773584, -641542000.0, 5, 48, 48, 0.08204711616571893
41, -640159000.0, -643265000.0, -641680512.8205128, -640485000.0, 9, 30, 62, 0.09537299338999056
42, -639115000.0, -640535000.0, -639695777.7777778, -639445000.0, 5, 40, 56, 0.09173478655767484
43, -638038000.0, -688224000.0, -674974660.3773584, -688224000.0, 4, 49, 48, 0.07593984962406015
44, -687814000.0, -691163000.0, -689500203.125, -690823000.0, 7, 57, 37, 0.08662092624356775
45, -637464000.0, -691537000.0, -671747777.7777778, -637501000.0, 10, 44, 47, 0.09555345316934721
46, -637281000.0, -640054000.0, -638543406.25, -638954000.0, 10, 54, 37, 0.07709923664122137
47, -637978000.0, -640584000.0, -639444639.3442622, -638681000.0, 9, 52, 40, 0.07224606580829757
48, -638298000.0, -640644000.0, -639461018.8679246, -638491000.0, 7, 46, 48, 0.08285479901558655
49, -636335000.0, -639947000.0, -638594508.1967213, -636335000.0, 14, 47, 40, 0.06441326530612244
50, -636335000.0, -639958000.0, -638451092.5925926, -638191000.0, 7, 47, 47, 0.08178137651821862
